name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
HDFC Sales,4.0,(1.5k Reviews),Private,"Mumbai,Maharashtra + 231 more",19 years old,10k-50k Employees (India)
Kalyan Jewellers,4.8,(1.5k Reviews),Private,Bengaluru/Bangalore + 118 more,30 years old,5k-10k Employees (India)
ACT Fibernet,4.1,(1.5k Reviews),Private,"Bengaluru/Bangalore,Karnataka + 38 more",23 years old,5k-10k Employees (India)
Micro Labs,3.8,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 97 more",50 years old,10k-50k Employees (India)
Extramarks Educa...,3.7,(1.5k Reviews),Private,"Noida,Uttar Pradesh + 90 more",16 years old,1k-5k Employees (India)
Exide Industries,3.6,(1.5k Reviews),Public,"Kolkata,West Bengal + 160 more",76 years old,1k-5k Employees (India)
HCL Infosystems,4.0,(1.5k Reviews),Public,"Noida,Uttar Pradesh + 102 more",47 years old,10k-50k Employees (India)
TVS Supply Chain...,4.0,(1.6k Reviews),"Chennai,Tamil Nadu + 114 more",127 years old,1k-5k Employees (India),
Delhi Public Sch...,3.9,(1.5k Reviews),Public,"Greater Noida,Uttar Pradesh + 210 more",25 years old,1k-5k Employees (India)
Samsung Electron...,4.2,(1.4k Reviews),Noida + 176 more,,,
Ajanta Pharma,4.0,(1.4k Reviews),Public,"Mumbai,Maharashtra + 83 more",50 years old,1k-5k Employees (India)
PepsiCo,4.2,(1.5k Reviews),Private,"Harrison,New York + 182 more",34 years old,1k-5k Employees (India)
Bajaj Allianz Ge...,4.2,(1.4k Reviews),Pune + 164 more,5k-10k Employees (India),,
R.R. Donnelley,4.1,(1.4k Reviews),Private,"Chicago,Illinois + 9 more",159 years old,5k-10k Employees (India)
Britannia,4.2,(1.4k Reviews),Public,"Reading,Reading + 177 more",131 years old,5k-10k Employees (India)
Societe Generale,3.8,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",23 years old,1k-5k Employees (India)
Cholamandalam MS...,4.0,(1.4k Reviews),JV,"Chennai,Tamil Nadu + 276 more",22 years old,50k-1 Lakh Employees (India)
BlackBuck,3.9,(1.4k Reviews),Private,"Bangalore,Karnataka + 231 more",8 years old,501-1k Employees (India)
BHEL,4.2,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 89 more",59 years old,10k-50k Employees (India)
Mahindra Rural H...,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 331 more",16 years old,5k-10k Employees (India)
IGT Solutions,3.5,(1.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",25 years old,5k-10k Employees (India)
Blue Star,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 114 more",80 years old,1k-5k Employees (India)
Renault-Nissan,4.1,(1.4k Reviews),Private,"Chennai,Tamil Nadu + 66 more",16 years old,10k-50k Employees (India)
The Himalaya Dru...,4.2,(1.4k Reviews),Private,"San Francisco,California + 155 more",93 years old,1k-5k Employees (India)
Emcure Pharmaceu...,4.0,(1.5k Reviews),Private,Pune + 79 more,42 years old,5k-10k Employees (India)
PVR Cinemas,4.3,(1.4k Reviews),Public,Gurgaon + 88 more,26 years old,5k-10k Employees (India)
Taurus BPO Serv...,4.7,(1.4k Reviews),LLP,"Pune,Indore + 10 more",8 years old,1k-5k Employees (India)
Dalmia Bharat Ce...,4.1,(1.4k Reviews),Public,"Delhi/NCR,New Delhi + 141 more",88 years old,5k-10k Employees (India)
State Street Cor...,3.8,(1.6k Reviews),Private,"Boston,Massachusetts + 12 more",231 years old,10k-50k Employees (India)
Raymond,4.0,(1.7k Reviews),Public,New York + 108 more,98 years old,5k-10k Employees (India)
Mahindra Holiday...,3.7,(1.4k Reviews),Private,"Mumbai,Maharashtra + 86 more",27 years old,5k-10k Employees (India)
Poonawalla Finco...,4.0,(1.7k Reviews),Public,"Mumbai,Maharashtra + 237 more",35 years old,5k-10k Employees (India)
Yazaki,3.8,(1.4k Reviews),Private,"Tokyo,Tokyo + 46 more",82 years old,10k-50k Employees (India)
UNO Minda,4.0,(1.4k Reviews),Gurgaon + 59 more,65 years old,1k-5k Employees (India),
Sonalika Tractor...,3.9,(1.3k Reviews),Private,"Hoshiarpur,Punjab + 122 more",54 years old,1k-5k Employees (India)
TVS Credit,4.3,(1.3k Reviews),Public,"Chennai,Tamil Nadu + 209 more",15 years old,10k-50k Employees (India)
Shree Cement,4.2,(1.3k Reviews),Public,"Kolkata,West Bengal + 141 more",44 years old,5k-10k Employees (India)
TVS Sundram Fast...,3.8,(1.3k Reviews),Public,"Chennai,Tamil Nadu + 36 more",57 years old,1k-5k Employees (India)
Parle Agro,4.2,(1.3k Reviews),Private,"Mumbai,Maharashtra + 148 more",39 years old,1k-5k Employees (India)
V-Mart,4.3,(1.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 201 more",21 years old,5k-10k Employees (India)
Ambuja Cements,4.0,(3.9k Reviews),Public,"Mumbai,Maharashtra + 168 more",40 years old,5k-10k Employees (India)
CG Power and Ind...,3.8,(1.3k Reviews),Public,"Mumbai,Maharashtra + 90 more",86 years old,1k-5k Employees (India)
Sterling & Wilso...,4.2,(1.3k Reviews),Private,Mumbai + 69 more,96 years old,5k-10k Employees (India)
ElasticRun,3.6,(1.3k Reviews),Private,"Pune,Maharashtra + 260 more",7 years old,1k-5k Employees (India)
Grasim Industrie...,4.2,(6.7k Reviews),Public,Nagda + 62 more,76 years old,10k-50k Employees (India)
Exotic Learning,4.7,(1.3k Reviews),Private,"Lucknow,Uttar Pradesh + 139 more",3 years old,51-200 Employees (India)
Datamatics Globa...,3.7,(1.7k Reviews),Public,Mumbai + 21 more,48 years old,1k-5k Employees (India)
Mahindra Logisti...,4.1,(1.3k Reviews),Public,"Mumbai,Maharashtra + 98 more",23 years old,1k-5k Employees (India)
Shriram City,4.1,(1.3k Reviews),Public,"Chennai,Tamil Nadu + 375 more",37 years old,10k-50k Employees (India)
Shahi Exports,4.1,(1.3k Reviews),Private,"Faridabad,Haryana + 47 more",49 years old,1 Lakh+ Employees (India)
Force Motors,3.4,(1.3k Reviews),Public,"Pune,Maharashtra + 70 more",65 years old,1k-5k Employees (India)
Reliance Trends,4.4,(1.3k Reviews),Private,"Navi Mumbai,Maharashtra + 269 more",17 years old,1 Lakh+ Employees (India)
Indus Towers,4.0,(1.3k Reviews),Private,"Gurgaon,Haryana + 106 more",16 years old,1k-5k Employees (India)
Brakes India,4.1,(1.3k Reviews),Partnership,"Chennai,Tamil Nadu + 61 more",61 years old,1k-5k Employees (India)
DS Group,4.1,(1.4k Reviews),Private,"Noida,Uttar Pradesh + 135 more",94 years old,1k-5k Employees (India)
IKS Health,3.6,(1.3k Reviews),Private,"Mumbai,Maharashtra + 9 more",16 years old,5k-10k Employees (India)
